Message-ID,Subject,Body,summary,action_item,draft_reply
<22332787.1075851837655.JavaMail.evans@thyme>,"Valley Electric Association, Inc.","We have received the executed EEI Master Power Purchase and Sale Agreement 
dated 2/13/01 from the referenced CP.  Copies will be distributed to Legal 
and Credit.","
- EEI Master Power Purchase and Sale Agreement dated 2/13/01, executed by CP, received.
- Copies to be distributed to Legal and Credit departments.
"," No specific action items are identified for demo@gmail.com in this email thread. The email is an informational update about the receipt of the agreement and mentions distribution to Legal and Credit, but doesn't assign any tasks to demo@gmail.com.
"," Dear Team,

Thank you for the update. Please let me know if Legal or Credit have any questions or require any further information regarding the EEI Master Power Purchase and Sale Agreement dated 2/13/01 from the referenced CP.

Best regards,

demo@gmail.com
"
<6886867.1075854844525.JavaMail.evans@thyme>,RE: IT Issues,"You need to go through Don Black and Anthony Dayou.

 -----Original Message-----
From: 	Hewitt, Jess  
Sent:	Tuesday, July 17, 2001 10:08 AM
To:	Presto, Kevin M.
Subject:	IT Issues

I am having some issues with IT - may I discuss with you?  When is a good time to call?","
- Jess Hewitt needs to discuss IT issues with Kevin M. Presto.
- Kevin M. Presto needs to review Don Black and Anthony Dayou.
"," Review the issues with IT reported by Jess Hewitt.
"," Dear Jess Hewitt,

Thank you for reaching out. To address your IT issues, please first speak with Don Black and then Anthony Dayou. They are best equipped to assist you with these matters.

Please let me know if you have any further questions after speaking with them.

Best regards,

Kevin M. Presto
"
<18970418.1075852693070.JavaMail.evans@thyme>,TRV Notification:  (NG - Price P/L - 10/09/2001),"The report named: NG - Price P/L <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=10&report_name=NG+-+Price+P/L&category_cd=5&category_name=FINANCIAL&toc_hide=1&sTV1=5&TV1Exp=Y&current_efct_date=10/09/2001>, published as of 10/09/2001 is now available for viewing on the website.","
- The report ""NG - Price P/L"" published as of 10/09/2001 is available on the website.
- The report can be viewed at the provided URL: <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=10&report_name=NG+-+Price+P/L&category_cd=5&category_name=FINANCIAL&toc_hide=1&sTV1=5&TV1Exp=Y&current_efct_date=10/09/2001>.
"," View the report named ""NG - Price P/L"" on the website.
"," Dear Team,

This confirms that the NG - Price P/L report, published as of 10/09/2001, is now available for viewing on the website. You can access it via the provided link: <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=10&report_name=NG+-+Price+P/L&category_cd=5&category_name=FINANCIAL&toc_hide=1&sTV1=5&TV1Exp=Y&current_efct_date=10/09/2001>.

Please let me know if you have any questions.

Best regards,

demo@gmail.com
"
<13066576.1075854362052.JavaMail.evans@thyme>,GD-NEW,"Jeremy,

Please add Eric Moon to the list of users for the Canadian Logic On/Off 
script.  Thanks.

DG","
- DG requested Jeremy to add Eric Moon to the user list for the Canadian Logic On/Off script.
"," Add Eric Moon to the list of users for the Canadian Logic On/Off script.
"," Dear DG,

I've added Eric Moon to the Canadian Logic On/Off script user list. Please let me know if you need anything else.

Best regards,

Jeremy
"
<21213712.1075858725056.JavaMail.evans@thyme>,Re: Southern comments,"What was the quote?
--------------------------
Rick S.


-----Original Message-----
From: Yoho, Lisa <Lisa.Yoho@ENRON.com>
To: Shapiro, Richard <Richard.Shapiro@ENRON.com>
Sent: Mon Oct 22 09:57:11 2001
Subject: Southern comments

Rick:  I loved, loved, loved your comments about Southern Company.   Sue and I decided that you must have been feeling empowered by the success of your carrot comments!!!!","
- Lisa Yoho emailed Richard Shapiro referencing Rick S.'s comments about Southern Company.
- Yoho and Sue found Rick S.'s comments enjoyable.
- They attributed Rick S.'s positive comments to the success of his ""carrot comments"".
"," None.
"," Dear Rick,

I'm sorry, but this email thread doesn't include any direct quotes from me. Could you please provide more context or the original quote you are referring to? Perhaps it was in a different email, or mentioned during a meeting? I'd be happy to help if I can!

Best regards,

demo@gmail.com
"
<28666186.1075846278995.JavaMail.evans@thyme>,,"Do you have a list of ongoing projects the Southern Cone Gov't Affairs group 
is engaged in?  Please forward to me if you do.( If something does'nt already 
exist, perhaps you could pull something together at your earliest convenience 
) Also, any information as to relative priority of these projects and level 
of resources ( both internal and external ) you have committed by project 
would be helpful. I look forward to getting down to Sao Paulo soon to visit 
with you and your group. Hope your move goes  uneventfully. Thanks for all 
your help.","
- The sender requests a list of ongoing projects for the Southern Cone Gov't Affairs group.
- The sender also asks for the priority and resource allocation (internal and external) for each project.
- The sender plans to visit São Paulo soon.
- The sender hopes the recipient's move is going well.
"," Forward a list of ongoing projects the Southern Cone Gov't Affairs group is engaged in.
"," Dear [Sender],

Thank you for your email. I'd be happy to provide you with an overview of the Southern Cone Gov't Affairs group's ongoing projects. I am currently compiling a list with details on each project, including relative priority and the level of resources allocated (internal and external). I anticipate having this information available for you by [Suggest a reasonable timeframe, e.g., the end of the week].

I look forward to your visit to São Paulo soon. I will be sure to keep you updated on my move.

Thanks for your patience and understanding.

Best regards,

Demo
"
<32064026.1075854012842.JavaMail.evans@thyme>,Entex Revised Estimates for 4/00,"I guess I'd better attach the file.

Gary
---------------------- Forwarded by Gary A Hanks/HOU/ECT on 04/28/2000 11:26 
AM ---------------------------
   
	Enron North America Corp.
	
	From:  Gary A Hanks                           04/28/2000 11:27 AM
	

To: Daren J Farmer/HOU/ECT@ECT, Ami Chokshi/Corp/Enron@ENRON
cc:  
Subject: Entex Revised Estimates for 4/00

The attached spreadsheet has the revised estimates for Entex citygate loads 
for April.  If you need me to get with POPs/Unify to correct or change the 
estimates please give me a call.  

Thanks
Gary","
- Gary Hanks sent Daren J Farmer and Ami Chokshi revised estimates for Entex citygate loads for April in an attached spreadsheet.
- Gary Hanks offered to assist with correcting or changing the estimates with POPs/Unify if needed.
"," There are no action items for demo@gmail.com in this email thread.
"," Dear Gary,

Thank you for sending the revised estimates for Entex citygate loads for April. I appreciate you keeping us informed. Please let me know if any adjustments are needed, and I will coordinate with POPs/Unify accordingly.

Best regards,

demo@gmail.com
"
<3793309.1075845595880.JavaMail.evans@thyme>,Hub agency/my comments,"David,

Please change the date on the draft so that we won't confuse it with the 
prior drafts.

I would delete ""specifically"" from 2.10 (c), and add ""or later ratify such 
transaction"" (or something to that effect), just in case they later learn and 
accept the transaction.  

In 2.10 (x), add to ""due to an inability to pay, or other credit reason"".  In 
(y), add ""or a contractual defense to payment"" [could be force majeure, etc]

Again in 2.10, third sentence from the end ""any interest, penalties, 
attorneys fees and court costspayable by the Hub Shipper...;

3.3  Delete ""prior"" before ""approval"", and add ""or ratification"" in the 
redlined section on refunds.


Thanks,

Kay","
- Kay requests David to change the draft's date to avoid confusion with prior drafts.
- Kay suggests changes to section 2.10: delete ""specifically"" from (c), add ""or later ratify such transaction"", add to (x) ""due to an inability to pay, or other credit reason"", add to (y) ""or a contractual defense to payment"".
- Kay requests a change to the third sentence from the end of section 2.10: ""any interest, penalties, attorneys fees and court costs payable by the Hub Shipper"".
- Kay requests changes to section 3.3: Delete ""prior"" before ""approval"" and add ""or ratification"" in the redlined section on refunds.
"," Change the date on the draft to avoid confusion with prior drafts.
"," Dear Kay,

Thanks for the feedback. I have made the requested changes to the draft.

Specifically, I have:

*   Adjusted the date.
*   Removed ""specifically"" from 2.10 (c) and added ""or later ratify such transaction"".
*   Added to 2.10 (x), ""due to an inability to pay, or other credit reason"".
*   Added to 2.10 (y), ""or a contractual defense to payment"".
*   Corrected the wording in the third sentence from the end of 2.10, ""any interest, penalties, attorneys fees and court costs payable by the Hub Shipper..."".
*   Deleted ""prior"" before ""approval"" and added ""or ratification"" in the redlined section on refunds in 3.3.

Please let me know if you have any other changes.

Best regards,

David
demo@gmail.com
"
<16603245.1075841067071.JavaMail.evans@thyme>,"Subject email ""Password Security Notice""","We regret the recent response to the subject email ""Password Security Notice"" 
that you may have received.  The particular email was inappropriate and the 
ISC has therefore taken immediate disciplinary action against the individual 
responsible.

Allan Sommer
Integrated Solutions Center (ISC)","
- The Integrated Solutions Center (ISC) apologizes for the inappropriate ""Password Security Notice"" email.
- The ISC has taken disciplinary action against the individual responsible for the email.
- The email was sent by Allan Sommer of the Integrated Solutions Center (ISC).
"," No action items are present for demo@gmail.com. The email is an apology and informational, not a request for action.
"," Dear Allan Sommer,

Thank you for the prompt clarification regarding the ""Password Security Notice"" email. I appreciate you addressing the issue and taking disciplinary action. I understand that mistakes can happen, and your quick response is reassuring.

Sincerely,

demo@gmail.com
"
<21696366.1075840517665.JavaMail.evans@thyme>,RE: Prepay to Reliant for 4/4/02,"The prepay to Reliant for Thur April 11th is $22,000.  I left the Cash Request on Doug's desk.

Priscilla, please leave the wire on my desk in the future.  I need to get Ed to sign before it goes to Doug Sewell.","
- The prepaid amount to Reliant for Thursday, April 11th, is $22,000.
- Priscilla should leave the wire on the sender's desk in the future.
- The sender needs Ed's signature on the wire before it goes to Doug Sewell.
"," None
"," Dear Priscilla,

Thank you for the update on the Reliant prepayment for April 11th. I understand the amount is $22,000 and that the cash request was left on Doug's desk.

Regarding the wire transfer, I will be sure to leave it on your desk in the future for Ed's signature prior to Doug Sewell. I appreciate the clarification on the process.

Best regards,

demo@gmail.com
"
